objective,acquisition,error_model,jitter_std,jitter_iteration,oracle_model,cohens_d_true,cohens_d_obs,n,interpretation_true,interpretation_obs
multi_objective,qehvi,bias,0.05,20,extra_trees,-0.0018738421653282725,0.20996594362506468,10,negligible,SMALL
multi_objective,qehvi,bias,0.05,40,extra_trees,0.002539813347404646,0.19014183485235375,10,negligible,negligible
multi_objective,qehvi,bias,0.5,10,extra_trees,-0.012449759574141506,0.7107848841598596,10,negligible,MEDIUM
multi_objective,qehvi,bias,0.5,20,extra_trees,-0.010586636795721877,0.6610416793155366,10,negligible,MEDIUM
multi_objective,qehvi,bias,0.5,40,extra_trees,0.0007245282006324865,0.5457274610000205,10,negligible,MEDIUM
multi_objective,qehvi,bias,1.0,10,extra_trees,-0.023742610879632815,0.976611463774252,10,negligible,LARGE
multi_objective,qehvi,bias,1.0,20,extra_trees,-0.011210297761605299,0.9323270247525134,10,negligible,LARGE
multi_objective,qehvi,bias,1.0,40,extra_trees,0.00035686742731807884,0.873935174033623,10,negligible,LARGE
multi_objective,qehvi,bias,5.0,10,extra_trees,-0.08205881981874509,1.0411298783070975,10,negligible,LARGE
multi_objective,qehvi,bias,5.0,20,extra_trees,-0.011528000881933963,1.2933689028808661,10,negligible,LARGE
multi_objective,qehvi,bias,5.0,40,extra_trees,0.0010531991219405804,1.0575466925419226,10,negligible,LARGE
multi_objective,qehvi,gaussian,0.05,10,extra_trees,-0.0018583897079204343,0.0569733503439107,10,negligible,negligible
multi_objective,qehvi,gaussian,0.05,20,extra_trees,0.0018894830856900793,0.05176280242072114,10,negligible,negligible
multi_objective,qehvi,gaussian,0.05,40,extra_trees,0.00033242435420279145,0.03206170441446617,10,negligible,negligible
